Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
9.8,0.0,-,139,Gulyás Zóra,5,Kőszegi Lóránt FC,H1,Budapest (HUN),2024.2.1
9.8,0.0,-,139,Balogh Lilla,6,ARAK,H1,Nyíregyháza (HUN),2024.2.25
9.81,0.0,-,142,Hajagos Petra,6,Vasas,H2,Budapest (HUN),2024.2.1
9.81,0.0,-,142,Gulyás Zóra,5,Kőszegi Lóránt FC,H2,Nyíregyháza (HUN),2024.2.25
9.82,0.0,31,144,Szőke Anna,4,Vasas,H1,Budapest (HUN),2024.2.03
9.83,0.0,-,145,Balogh Lilla,6,ARAK,H1,Budapest (HUN),2024.2.1
9.85,0.0,-,146,Erdős Viktória,5,DSC-SI,H1,Budapest (HUN),2024.2.03
9.86,0.0,32,147,Lőrincz Tekla,5,SMAFC,H1,Nyíregyháza (HUN),2024.2.25
9.88,0.0,-,148,Balogh Lilla,6,ARAK,H2,Budapest (HUN),2024.2.03
9.88,0.0,-,148,Lőrincz Tekla,5,SMAFC,F1,Nyíregyháza (HUN),2024.2.25
9.91,0.0,-,150,Balogh Lilla,6,ARAK,H2,Budapest (HUN),2024.1.28
9.92,0.0,-,151,Erdős Viktória,5,DSC-SI,H1,Nyíregyháza (HUN),2024.1.27
9.92,0.0,-,151,Gulyás Zóra,5,Kőszegi Lóránt FC,H1,Budapest (HUN),2024.1.28
9.92,0.0,33,151,Kovács Vivien,91,MTK Budapest,H1,Nyíregyháza (HUN),2024.2.18
9.94,0.0,-,154,Tóth-Sztavridisz Szófia,6,MATE - GEAC,H1,Nyíregyháza (HUN),2024.2.25
10.2,0.0,34,155,Pénzes Júlia,6,TSC-Geotech,CE1,Budapest (HUN),2024.2.11
10.2,0.0,34,155,Csepregi Nóra,6,Békéscsabai AC,CE1,Budapest (HUN),2024.2.11
10.28,0.0,-,157,Csepregi Nóra,6,Békéscsabai AC,F1,Nyíregyháza (HUN),2024.1.27
10.29,0.0,-,158,Lőrincz Tekla,5,SMAFC,H1,Budapest (HUN),2024.2.03
10.37,0.0,36,159,Kerezsi Judit,4,KARC,CE2,Budapest (HUN),2024.2.11
10.46,0.0,-,160,Csepregi Nóra,6,Békéscsabai AC,H1,Nyíregyháza (HUN),2024.1.27
10.67,0.0,-,161,Kerezsi Judit,4,KARC,H3,Budapest (HUN),2024.2.03
