Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
25.77,-0.8,-,155,Bottlik Judit,98,BHSE,H1,Debrecen (HUN),2021.6.27
25.77,0.0,-,155,Erdei Tamara,99,MTK Budapest,H3,Debrecen (HUN),2021.6.27
25.78,+0.7,-,157,Széll Gyöngyi,91,BEAC,F3,Budapest (HUN),2021.5.22
25.78,+0.5,-,157,Erdei Tamara,99,MTK Budapest,F3,Veszprém (HUN),2021.6.06
25.79,+0.7,40,159,Bartha Lilla,3,BHSE,F3,Budapest (HUN),2021.5.22
25.79,+0.7,-,159,Szűcs Szabina,2,KARC,F1,Miskolc (HUN),2021.6.13
25.8,+0.7,-,161,Skriván Bíbor,3,BHSE,F1,Miskolc (HUN),2021.6.13
25.8,+2.0,41,161,Bognár Anna,3,BHSE,H1,Miskolc (HUN),2021.6.13
25.8,0.0,-,161,Kovács Léna,4,UTE,F1,Székesfehérvár (HUN),2021.6.19
25.81,+0.8,42,164,Szabó Gréta,4,ARAK,F7,Veszprém (HUN),2021.6.09
25.81,0.0,42,164,Őri Veronika,3,AC Bonyhád,F1,Veszprém (HUN),2021.6.09
25.81,-0.8,-,164,Dávid Anna,2,DSC-SI,H1,Debrecen (HUN),2021.6.27
25.81,-0.2,-,164,Fekete Júlia,5,VEDAC,H2,Debrecen (HUN),2021.6.27
25.83,+0.5,-,168,Szikossy Szilvia,3,FTC,F3,Veszprém (HUN),2021.6.06
25.87,+0.7,-,169,Bognár Anna,3,BHSE,F1,Miskolc (HUN),2021.6.13
25.88,+0.6,-,170,Mészáros Luca,5,ARAK,H2,Szekszárd (HUN),2021.8.08
25.89,+1.0,-,171,Nagy Pálma,1,ZALASZÁM-ZAC,F2,Budapest (HUN),2021.5.22
25.89,+0.7,-,171,Dávid Anna,2,DSC-SI,F3,Budapest (HUN),2021.5.22
25.89,+0.8,-,171,Őri Veronika,3,AC Bonyhád,F1,Pécs (HUN),2021.6.18
25.89,-0.5,44,171,Sipos Borbála,99,KSI SE,CE1,Székesfehérvár (HUN),2021.6.19
25.89,0.0,-,171,Nagy Pálma,1,ZALASZÁM-ZAC,H3,Debrecen (HUN),2021.6.27
25.89,0.0,-,171,Fekete Júlia,5,VEDAC,F1,Székesfehérvár (HUN),2021.9.12
25.9,+0.4,-,177,Körtvélyi Eszter,2,UTE,F6,Budapest (HUN),2021.5.22
25.91,+0.8,45,178,Répássy Hanna,1,MTK Budapest,F1,Budapest (HUN),2021.5.22
25.91,+1.3,45,178,Kovács Noémi,5,SVSE,F1,Veszprém (HUN),2021.6.09
25.91,+0.1,-,178,Erdei Tamara,99,MTK Budapest,F1,Miskolc (HUN),2021.6.13
25.92,0.0,-,181,Mészáros Luca,5,ARAK,F1,Veszprém (HUN),2021.7.28
25.95,0.0,-,182,Huszka Blanka,4,KARC,F1,Székesfehérvár (HUN),2021.6.19
25.95,0.0,-,182,Mészáros Luca,5,ARAK,F1,Székesfehérvár (HUN),2021.9.12
25.96,+0.7,-,184,Makovnyik Krisztina,2,Eötvös DSE,F1,Miskolc (HUN),2021.6.13
25.97,-1.7,47,185,Dobi Larina,3,A-Plast Ikarus BSE,F1,Debrecen (HUN),2021.5.16
25.97,+0.5,-,185,Diószegi Kata,0,MTK Budapest,F5,Budapest (HUN),2021.5.22
25.97,-0.2,47,185,Hadnagy Zsóka,2,SVSE,F2,Veszprém (HUN),2021.6.09
25.97,+0.3,-,185,Körtvélyi Eszter,2,UTE,F1,Győr (HUN),2021.7.04
25.98,0.0,49,189,Katona Emma,7,UTE,F3,Veszprém (HUN),2021.6.09
26.0,-0.2,-,190,Makovnyik Krisztina,2,Eötvös DSE,H2,Debrecen (HUN),2021.6.27
26.0,0.0,-,190,Kovács Léna,4,UTE,H3,Debrecen (HUN),2021.6.27
26.0,-0.4,50,190,Magyar Júlia,3,BEAC,F1,Budapest (HUN),2021.9.26
26.01,+0.4,-,193,Makovnyik Krisztina,2,Eötvös DSE,H3,Miskolc (HUN),2021.6.13
26.01,0.0,51,193,Barna Patrícia,3,KARC,CE1,Győr (HUN),2021.7.03
26.03,+0.3,-,195,Mészáros Luca,5,ARAK,F4,Budapest (HUN),2021.5.22
26.03,+1.0,-,195,Szűcs Szabina,2,KARC,H2,Miskolc (HUN),2021.6.13
26.04,0.0,-,197,Széll Gyöngyi,91,BEAC,F2,Veszprém (HUN),2021.8.18
26.05,-0.8,-,198,Széll Gyöngyi,91,BEAC,H1,Debrecen (HUN),2021.6.27
26.06,+1.5,52,199,Kovács Boglárka,3,Titán TC,H4,Miskolc (HUN),2021.6.13
26.06,+0.6,52,199,Bathó Borbála,1,BHSE,H1,Miskolc (HUN),2021.6.13
26.06,0.0,52,199,Kalmár Alíz,5,UTE,F1,Szekszárd (HUN),2021.8.08
26.07,+0.3,55,202,Kovács Anna,4,ZALASZÁM-ZAC,F4,Budapest (HUN),2021.5.22
26.09,+1.7,-,203,Nagy Pálma,1,ZALASZÁM-ZAC,H1,Győr (HUN),2021.5.29
26.09,+0.4,-,203,Őri Veronika,3,AC Bonyhád,H3,Miskolc (HUN),2021.6.13
26.09,+0.8,-,203,Magyar Júlia,3,BEAC,F1,Szolnok (HUN),2021.8.29
26.11,-0.1,-,206,Sipos Borbála,99,KSI SE,F4,Veszprém (HUN),2021.6.06
26.11,0.0,-,206,Kovács Noémi,5,SVSE,F1,Székesfehérvár (HUN),2021.6.19
26.11,0.0,56,206,Ritter Lola,5,ARAK,F1,Szekszárd (HUN),2021.8.08
26.12,0.0,-,209,Kovács Noémi,5,SVSE,H4,Szekszárd (HUN),2021.8.08
26.13,+0.3,-,210,Huszka Blanka,4,KARC,F4,Budapest (HUN),2021.5.22
26.13,0.0,-,210,Kovács Noémi,5,SVSE,F1,Budapest (HUN),2021.9.26
26.14,+1.7,-,212,Makovnyik Krisztina,2,Eötvös DSE,H1,Győr (HUN),2021.5.29
26.15,+0.5,-,213,Huszka Blanka,4,KARC,H5,Szekszárd (HUN),2021.8.08
26.15,-0.4,57,213,Maszárovits Lili,3,VSD,F1,Budapest (HUN),2021.9.26
26.17,0.0,-,215,Kovács Noémi,5,SVSE,F1,Szekszárd (HUN),2021.8.08
26.18,+1.3,58,216,Grubits Liliána,4,ARAK,F1,Veszprém (HUN),2021.6.09
26.18,-1.4,-,216,Kovács Noémi,5,SVSE,F2,Veszprém (HUN),2021.7.28
26.21,+0.7,-,218,Kovács Anna,4,ZALASZÁM-ZAC,F2,Győr (HUN),2021.5.16
26.21,-1.7,59,218,Együd Luca,98,TFSE,F1,Debrecen (HUN),2021.5.16
26.22,+1.1,60,220,Nyilasi Diána,4,UTE,F2,Veszprém (HUN),2021.6.09
26.22,+1.3,-,220,Ritter Lola,5,ARAK,F1,Veszprém (HUN),2021.6.09
26.24,-1.4,-,222,Bathó Borbála,1,BHSE,F2,Veszprém (HUN),2021.7.28
26.25,+0.7,-,223,Makovnyik Krisztina,2,Eötvös DSE,F3,Budapest (HUN),2021.5.22
26.26,-0.1,-,224,Diószegi Kata,0,MTK Budapest,F4,Veszprém (HUN),2021.6.06
26.26,+2.0,61,224,Garai Graciana,2,NYSC,H1,Miskolc (HUN),2021.6.13
26.27,-0.1,62,226,Magyar Alexandra,6,KASI,F4,Veszprém (HUN),2021.6.06
26.27,0.0,-,226,Kalmár Alíz,5,UTE,H4,Szekszárd (HUN),2021.8.08
26.27,0.0,62,226,Bányai Netta,5,DSC-SI,F1,Szekszárd (HUN),2021.8.08
26.28,+2.0,64,229,Németh Nóra,2,MATE - GEAC,H1,Miskolc (HUN),2021.6.13
26.28,-1.4,-,229,Őri Veronika,3,AC Bonyhád,F2,Veszprém (HUN),2021.7.28
26.3,+0.7,-,231,Kovács Boglárka,3,Titán TC,F1,Miskolc (HUN),2021.6.13
26.32,+0.7,-,232,Bognár Anna,3,BHSE,F3,Budapest (HUN),2021.5.22
26.32,0.0,-,232,Dávid Anna,2,DSC-SI,F1,Székesfehérvár (HUN),2021.9.12
26.33,+1.6,-,234,Bathó Borbála,1,BHSE,H2,Győr (HUN),2021.5.29
26.33,+1.0,-,234,Magyar Júlia,3,BEAC,H2,Miskolc (HUN),2021.6.13
26.34,+0.7,65,236,Hodosi Dorottya,97,Vasas,F2,Győr (HUN),2021.5.16
26.34,0.0,-,236,Kalmár Alíz,5,UTE,F4,Veszprém (HUN),2021.6.09
26.35,-1.2,-,238,Dávid Anna,2,DSC-SI,F2,Debrecen (HUN),2021.5.16
26.35,0.0,-,238,Kovács Anna,4,ZALASZÁM-ZAC,F1,Székesfehérvár (HUN),2021.6.19
26.35,-0.2,-,238,Huszka Blanka,4,KARC,H2,Debrecen (HUN),2021.6.27
26.36,+0.4,-,241,Bathó Borbála,1,BHSE,F1,Nyíregyháza (HUN),2021.8.18
26.36,-0.4,-,241,Körtvélyi Eszter,2,UTE,F1,Budapest (HUN),2021.9.26
26.38,+0.3,-,243,Grubits Liliána,4,ARAK,F7,Budapest (HUN),2021.5.22
26.38,+0.5,-,243,Kovács Noémi,5,SVSE,F5,Budapest (HUN),2021.5.22
26.38,-0.7,-,243,Bányai Netta,5,DSC-SI,F5,Veszprém (HUN),2021.7.28
26.38,+0.5,-,243,Ritter Lola,5,ARAK,H5,Szekszárd (HUN),2021.8.08
26.39,+0.7,-,247,Őri Veronika,3,AC Bonyhád,F2,Győr (HUN),2021.5.16
26.39,+0.3,-,247,Makovnyik Krisztina,2,Eötvös DSE,F2,Veszprém (HUN),2021.6.06
26.4,0.0,-,249,Nyilasi Diána,4,UTE,F1,Székesfehérvár (HUN),2021.6.19
26.4,+0.4,-,249,Garai Graciana,2,NYSC,F1,Nyíregyháza (HUN),2021.8.18
26.41,-1.2,-,251,Huszka Blanka,4,KARC,F2,Debrecen (HUN),2021.5.16
26.41,+0.4,66,251,Számuel Júlia,3,UTE,H3,Miskolc (HUN),2021.6.13
26.41,-0.2,66,251,Kuti Nikolett,0,MTK Budapest,H2,Debrecen (HUN),2021.6.27
26.41,0.0,-,251,Fekete Júlia,5,VEDAC,F1,Veszprém (HUN),2021.7.28
26.41,+0.3,-,251,Bányai Netta,5,DSC-SI,H3,Szekszárd (HUN),2021.8.08
26.42,+0.3,-,256,Ritter Lola,5,ARAK,F7,Budapest (HUN),2021.5.22
26.42,-0.5,-,256,Barna Patrícia,3,KARC,CE1,Székesfehérvár (HUN),2021.6.19
26.43,+0.3,-,258,Őri Veronika,3,AC Bonyhád,F4,Budapest (HUN),2021.5.22
