Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
7.27,-1.1,-,26,Pap Kristóf,98,FTC,F1,Budapest (HUN),2022.5.01
7.25,+0.1,-,27,Galambos Tibor,91,FTC,F1,Miskolc (HUN),2022.4.3
7.24,-0.8,-,28,Gerics Roland,1,TSC-Geotech,F1,Pápa (HUN),2022.7.13
7.23,+2.0,-,29,Bánóczi Kristóf,4,FTC,F1,Győr (HUN),2022.5.14
7.22,-1.3,-,30,Gerics Roland,1,TSC-Geotech,F1,Tatabánya (HUN),2022.7.24
7.2,-1.4,-,31,Pázmándi Dominik,0,Szolnoki MÁV-SE,F1,Budapest (HUN),2022.6.25
7.19,+1.4,-,32,Gerics Roland,1,TSC-Geotech,F1,Győr (HUN),2022.5.14
7.19,NWI,-,32,Pap Kristóf,98,FTC,F,Miskolc (HUN),2022.5.21
7.18,0.0,-,34,Salamon András,0,TSC-Geotech,F1,Gödöllő (HUN),2022.8.21
7.16,+0.3,-,35,Salamon András,0,TSC-Geotech,F1,Debrecen (HUN),2022.9.17
7.13,+0.6,7,36,Németh Mátyás,1,KARC,F1,Miskolc (HUN),2022.7.1
7.12,+1.9,-,37,Galambos Tibor,91,FTC,F1,Győr (HUN),2022.9.1
7.1,-0.6,8,38,Szabó László,91,FTC,Q1,Budapest (HUN),2022.6.24
7.09,-1.3,-,39,Pázmándi Dominik,0,Szolnoki MÁV-SE,F1,Gödöllő (HUN),2022.6.16
7.09,-1.5,-,39,Gerics Roland,1,TSC-Geotech,F1,Budapest (HUN),2022.6.25
7.08,+0.2,-,41,Galambos Tibor,91,FTC,Q1,Budapest (HUN),2022.6.24
7.07,+1.9,9,42,Bolla Gergő,3,ARAK,F1,Székesfehérvár (HUN),2022.6.1
7.06,+0.6,-,43,Gerics Roland,1,TSC-Geotech,F1,Győr (HUN),2022.8.05
7.04,-0.7,-,44,Gerics Roland,1,TSC-Geotech,Q1,Budapest (HUN),2022.6.24
7.03,+0.6,10,45,Németh Miklós,4,BHSE,F1,Tatabánya (HUN),2022.7.24
7.03,+0.1,10,45,Brunner Hugó,4,PVSK,F1,Debrecen (HUN),2022.9.17
7.0,+1.6,-,47,Németh Mátyás,1,KARC,F1,Miskolc (HUN),2022.5.14
7.0,NWI,12,47,Iván Zsombor,1,DSC-SI,F,Miskolc (HUN),2022.5.21
7.0,+0.2,12,47,Hodossy-Takács Sámuel,2,DSC-SI,F1,Debrecen (HUN),2022.9.17
6.97,-0.8,-,50,Pázmándi Dominik,0,Szolnoki MÁV-SE,Q1,Budapest (HUN),2022.6.24
6.94,-0.1,14,51,Zuber Marcell,3,FTC,Q1,Budapest (HUN),2022.6.24
6.94,+1.2,-,51,Bánóczi Kristóf,4,FTC,F1,Miskolc (HUN),2022.7.1
6.94,+1.3,-,51,Brunner Hugó,4,PVSK,F1,Győr (HUN),2022.9.03
6.91,+0.6,15,54,Pál Robin,91,NYSC,F1,Miskolc (HUN),2022.5.14
6.91,+1.9,-,54,Zuber Marcell,3,FTC,F,Győr (HUN),2022.5.25
6.91,-2.5,-,54,Salamon András,0,TSC-Geotech,Q1,Budapest (HUN),2022.6.24
6.91,-1.9,-,54,Szabó László,91,FTC,F1,Budapest (HUN),2022.6.25
6.9,+0.5,-,58,Zuber Marcell,3,FTC,F1,Budapest (HUN),2022.6.05
6.9,+1.8,-,58,Bánóczi Kristóf,4,FTC,F1,Székesfehérvár (HUN),2022.6.1
6.89,+1.9,-,60,Hodossy-Takács Sámuel,2,DSC-SI,F1,Győr (HUN),2022.9.1
