Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
13.97,0.0,13,37,Bazsó Levente,4,FTC,F1,Budapest (HUN),2024.2.11
13.96,+1.2,14,38,Jenei Ádám,6,NYSC,F1,Szolnok (HUN),2024.7.27
13.94,0.0,-,39,Bazsó Levente,4,FTC,F1,Budapest (HUN),2024.1.28
13.93,+1.3,-,40,Kerék Patrik,6,ARAK,F1,Szolnok (HUN),2024.7.27
13.86,0.0,-,41,Bazsó Levente,4,FTC,F1,Nyíregyháza (HUN),2024.1.2
13.84,+0.3,-,42,Kiss Mátyás,6,FTC,F1,Budapest (HUN),2024.6.02
13.83,-0.1,-,43,Kiss Noel,8,UTE,F1,Székesfehérvár (HUN),2024.6.15
13.82,-0.2,-,44,Kerék Patrik,6,ARAK,F1,Budapest (HUN),2024.6.02
13.78,+0.6,-,45,Kiss Noel,8,UTE,F1,Budapest (HUN),2024.5.12
13.76,0.0,-,46,Bazsó Levente,4,FTC,F1,Budapest (HUN),2024.2.04
13.7,-2.1,15,47,Mester Zalán,7,Mezőtúri AC,F,Pöstyén (SVK),2024.7.05
13.68,+0.2,-,48,Monoki Benjámin,3,DVTK,F1,Budapest (HUN),2024.6.02
13.67,NWI,16,49,Bartalos Dávid,95,ZALASZÁM-ZAC,F1,Budapest (HUN),2024.2.11
13.64,0.0,-,50,Mester Zalán,7,Mezőtúri AC,F1,Budapest (HUN),2024.1.28
13.64,0.0,-,50,Nagy Alex,4,FTC,F1,Budapest (HUN),2024.2.04
13.64,-0.1,-,50,Mester Zalán,7,Mezőtúri AC,F1,Székesfehérvár (HUN),2024.6.15
13.64,-0.6,-,50,Kiss Noel,8,UTE,F1,Budapest (HUN),2024.6.29
13.63,0.0,-,54,Bazsó Levente,4,FTC,F1,Nyíregyháza (HUN),2024.2.17
13.63,-0.4,-,54,Monoki Benjámin,3,DVTK,F,Veszprém (HUN),2024.5.12
13.6,-0.4,-,56,Kerék Patrik,6,ARAK,F1,Budapest (HUN),2024.6.29
13.51,0.0,17,57,Trenka Ádám,6,ARAK,F1,Nyíregyháza (HUN),2024.2.25
13.51,+1.5,-,57,Kiss Noel,8,UTE,F1,Albertirsa (HUN),2024.5.01
13.45,-0.5,18,59,Kontha Csanád,8,FTC,F1,Budapest (HUN),2024.6.02
13.45,+0.6,-,59,Kiss Noel,8,UTE,F1,Budapest (HUN),2024.7.14
