Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
12.48,0.0,6,24,Endrész Klaudia,1,KARC,F1,Budapest (HUN),2024.5.12
12.46,-0.3,-,25,Marosi Viktória,1,FTC,F1,Budapest (HUN),2024.6.29
12.42,-0.4,-,26,Szabó Beatrix,95,MTK Budapest,F1,Kecskemét (HUN),2024.7.14
12.4,0.0,-,27,Hoffer Krisztina,90,TSC-Geotech,F1,Budapest (HUN),2024.2.04
12.39,0.0,-,28,Virók Erna,0,FTC,F1,Nyíregyháza (HUN),2024.2.18
12.37,0.0,-,29,Hoffer Krisztina,90,TSC-Geotech,F1,Budapest (HUN),2024.1.28
12.37,+0.3,-,29,Marosi Viktória,1,FTC,F1,Budapest (HUN),2024.6.02
12.34,0.0,-,31,Nyisztor Petra,96,NYSC,F1,Nyíregyháza (HUN),2024.1.2
12.3,0.0,-,32,Virók Erna,0,FTC,F1,Nyíregyháza (HUN),2024.1.2
12.26,+1.1,-,33,Nyisztor Petra,96,NYSC,F1,Nyíregyháza (HUN),2024.6.09
12.23,0.0,7,34,Áts Viktória,1,TSC-Geotech,F1,Budapest (HUN),2024.2.04
12.23,+0.3,-,34,Endrész Klaudia,1,KARC,F1,Székesfehérvár (HUN),2024.6.14
12.21,+0.4,-,36,Endrész Klaudia,1,KARC,F1,Budapest (HUN),2024.5.26
12.2,+1.2,8,37,Rőczei Gréta,4,DVTK,F1,Budapest (HUN),2024.7.13
12.18,0.0,-,38,Hoffer Krisztina,90,TSC-Geotech,F1,Budapest (HUN),2024.6.29
12.18,+1.0,9,38,Sütő Napsugár,4,DSC-SI,F1,Szolnok (HUN),2024.7.27
12.16,+1.4,10,40,Nyilasi Diána,4,UTE,F1,Szolnok (HUN),2024.7.27
12.15,+1.7,-,41,Marosi Viktória,1,FTC,F,Veszprém (HUN),2024.5.12
12.12,+0.6,-,42,Nyilasi Diána,4,UTE,F1,Budapest (HUN),2024.7.13
12.08,+1.7,-,43,Hoffer Krisztina,90,TSC-Geotech,F1,Székesfehérvár (HUN),2024.6.14
12.07,0.0,-,44,Virók Erna,0,FTC,F1,Nyíregyháza (HUN),2024.1.27
12.06,+0.5,11,45,Kraicsovits Boglárka,8,Artemisz DSE,F,Pöstyén (SVK),2024.7.05
12.05,0.0,-,46,Marosi Viktória,1,FTC,F1,Nyíregyháza (HUN),2024.1.27
