Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
13.24,1.8,-,4,Dr. Baji Balázs,89,Békéscsabai AC,F,Praha (CZE),2017.6.05
13.28,0.0,-,5,Dr. Baji Balázs,89,Békéscsabai AC,H1,Paris (FRA),2017.7.01
13.28,0.0,-,5,Dr. Baji Balázs,89,Békéscsabai AC,F,London (GBR),2017.8.07
13.29,0.7,-,7,Dr. Baji Balázs,89,Békéscsabai AC,F,Székesfehérvár (HUN),2017.6.1
13.32,0.0,-,8,Dr. Baji Balázs,89,Békéscsabai AC,F,Budapest (HUN),2017.9.02
13.35,0.8,-,9,Dr. Baji Balázs,89,Békéscsabai AC,F,Turku (FIN),2017.6.13
13.35,-1.2,-,9,Dr. Baji Balázs,89,Békéscsabai AC,H1,London (GBR),2017.8.06
13.35,-0.5,-,9,Dr. Baji Balázs,89,Békéscsabai AC,F,Taipei (TPE),2017.8.27
13.37,0.4,-,12,Dr. Baji Balázs,89,Békéscsabai AC,H2,Székesfehérvár (HUN),2017.6.1
13.39,1.8,-,13,Dr. Baji Balázs,89,Békéscsabai AC,F1,Tel Aviv (ISR),2017.6.25
13.46,0.7,-,14,Dr. Baji Balázs,89,Békéscsabai AC,F,Zagreb (CRO),2017.8.29
13.47,-0.6,-,15,Dr. Baji Balázs,89,Békéscsabai AC,F,Birmingham (GBR),2017.8.2
13.49,2.0,-,16,Dr. Baji Balázs,89,Békéscsabai AC,H2,Turku (FIN),2017.6.13
13.49,-0.5,-,16,Dr. Baji Balázs,89,Békéscsabai AC,F1,Madrid (ESP),2017.7.14
13.67,-2.0,-,18,Dr. Baji Balázs,89,Békéscsabai AC,SF2,Taipei (TPE),2017.8.27
13.74,-1.1,-,19,Dr. Baji Balázs,89,Békéscsabai AC,F1,Székesfehérvár (HUN),2017.9.1
13.84,-2.4,-,20,Dr. Baji Balázs,89,Békéscsabai AC,H2,Taipei (TPE),2017.8.26
13.98,0.3,2,21,Szűcs Valdó,95,ZALASZÁM-ZAC,F,Székesfehérvár (HUN),2017.7.04
14.13,-0.8,-,22,Szűcs Valdó,95,ZALASZÁM-ZAC,F,Budapest (HUN),2017.6.3
14.13,0.0,-,22,Szűcs Valdó,95,ZALASZÁM-ZAC,H,Budapest (HUN),2017.6.3
14.28,1.0,-,24,Szűcs Valdó,95,ZALASZÁM-ZAC,H1,Aarhus (DEN),2017.6.02
14.35,1.1,-,25,Szűcs Valdó,95,ZALASZÁM-ZAC,F,Aarhus (DEN),2017.6.02
14.52,0.0,3,26,Szeles Bálint,98,Egri Sportiskola SE,F,Budapest (HUN),2017.6.03
14.63,0.0,4,27,Eszes Dániel,99,Dunakeszi VSE,F,Budapest (HUN),2017.9.02
14.67,1.8,-,28,Szeles Bálint,98,Egri Sportiskola SE,H1,Budapest (HUN),2017.6.03
14.86,1.5,5,29,Tano Leonardo,99,A-Plast Ikarus BSE,F2,Miskolc (HUN),2017.5.14
15.02,1.0,-,30,Tano Leonardo,99,A-Plast Ikarus BSE,H1,Székesfehérvár (HUN),2017.6.1
15.03,0.7,-,31,Tano Leonardo,99,A-Plast Ikarus BSE,F,Székesfehérvár (HUN),2017.6.1
15.05,0.7,6,32,Rády Zoltán,95,Dunakeszi VSE,F,Székesfehérvár (HUN),2017.6.1
15.14,1.0,-,33,Rády Zoltán,95,Dunakeszi VSE,H1,Székesfehérvár (HUN),2017.6.1
15.17,0.7,7,34,Raffai Péter,96,KSI SE,F,Székesfehérvár (HUN),2017.6.1
15.22,0.0,-,35,Rády Zoltán,95,Dunakeszi VSE,F,Debrecen (HUN),2017.5.2
15.23,1.5,8,36,Berg Szabolcs,95,AC Bonyhád,F1,Szekszárd (HUN),2017.5.14
15.23,,-,36,Raffai Péter,96,KSI SE,F,Miskolc (HUN),2017.5.27
15.23,0.0,-,36,Tano Leonardo,99,A-Plast Ikarus BSE,F,Budapest (HUN),2017.9.02
15.26,0.0,9,39,Kemenes Ákos,96,BHSE,F,Debrecen (HUN),2017.5.2
15.28,0.0,-,40,Rády Zoltán,95,Dunakeszi VSE,F,Budapest (HUN),2017.6.03
15.3,0.0,-,41,Raffai Péter,96,KSI SE,F,Budapest (HUN),2017.6.03
15.3,0.0,-,41,Raffai Péter,96,KSI SE,F,Budapest (HUN),2017.9.02
15.31,0.0,-,43,Berg Szabolcs,95,AC Bonyhád,F,Budapest (HUN),2017.6.03
15.34,0.3,10,44,Bak Bálint,99,A-Plast Ikarus BSE,F2,Székesfehérvár (HUN),2017.9.1
15.42,0.4,-,45,Raffai Péter,96,KSI SE,H2,Budapest (HUN),2017.6.03
15.43,0.0,-,46,Kemenes Ákos,96,BHSE,F,Budapest (HUN),2017.6.03
15.44,0.7,-,47,Kemenes Ákos,96,BHSE,F,Székesfehérvár (HUN),2017.6.1
15.45,1.5,-,48,Raffai Péter,96,KSI SE,F2,Miskolc (HUN),2017.5.14
15.48,-1.1,-,49,Tano Leonardo,99,A-Plast Ikarus BSE,F1,Székesfehérvár (HUN),2017.9.1
15.5,1.8,11,50,Mohácsi Soma,94,KARC,H1,Budapest (HUN),2017.6.03
15.55,-0.9,12,51,Valkay Tamás,99,AC Szekszárd,F3,Winterthur (SUI),2017.5.13
15.57,0.4,-,52,Rády Zoltán,95,Dunakeszi VSE,H2,Budapest (HUN),2017.6.03
15.59,0.7,-,53,Mohácsi Soma,94,KARC,F,Székesfehérvár (HUN),2017.6.1
15.64,1.5,13,54,Csizmadia Gábor,98,Favorit AC,F1,Szekszárd (HUN),2017.5.14
15.72,1.5,14,55,Kriszt Botond,96,MATE - GEAC,F2,Miskolc (HUN),2017.5.14
15.74,0.0,-,56,Raffai Péter,96,KSI SE,F,Veszprém (HUN),2017.7.22
15.78,0.3,15,57,Bartalos Dávid,95,Haladás VSE,F2,Székesfehérvár (HUN),2017.9.1
15.79,-1.1,16,58,Galambos Tibor,91,FTC,F1,Székesfehérvár (HUN),2017.9.1
15.82,0.0,-,59,Rády Zoltán,95,Dunakeszi VSE,F,Budapest (HUN),2017.9.02
15.83,0.4,-,60,Berg Szabolcs,95,AC Bonyhád,H2,Budapest (HUN),2017.6.03
15.96,1.8,17,61,Botka Levente,96,FTC,H1,Budapest (HUN),2017.6.03
15.96,1.0,-,61,Mohácsi Soma,94,KARC,H1,Székesfehérvár (HUN),2017.6.1
15.97,1.5,18,63,Käfer Levente,87,UTE,F1,Szekszárd (HUN),2017.5.14
15.98,1.5,-,64,Bartalos Dávid,95,Haladás VSE,F1,Szekszárd (HUN),2017.5.14
16.01,1.8,-,65,Kemenes Ákos,96,BHSE,H1,Budapest (HUN),2017.6.03
16.05,,-,66,Botka Levente,96,FTC,CE,Miskolc (HUN),2017.5.28
16.07,0.0,-,67,Botka Levente,96,FTC,F,Budapest (HUN),2017.6.03
16.12,0.0,-,68,Mohácsi Soma,94,KARC,F,Budapest (HUN),2017.9.02
16.17,0.0,-,69,Kemenes Ákos,96,BHSE,F,Budapest (HUN),2017.9.02
16.2,0.4,-,70,Raffai Péter,96,KSI SE,H2,Székesfehérvár (HUN),2017.6.1
16.2,-1.1,-,70,Kriszt Botond,96,MATE - GEAC,F1,Székesfehérvár (HUN),2017.9.1
16.22,0.0,-,72,Berg Szabolcs,95,AC Bonyhád,F,Budapest (HUN),2017.9.02
16.28,-1.1,-,73,Kemenes Ákos,96,BHSE,F1,Székesfehérvár (HUN),2017.9.1
16.33,-1.1,-,74,Berg Szabolcs,95,AC Bonyhád,F1,Székesfehérvár (HUN),2017.9.1
16.4,0.4,-,75,Kemenes Ákos,96,BHSE,H2,Székesfehérvár (HUN),2017.6.1
16.62,0.4,-,76,Botka Levente,96,FTC,H2,Székesfehérvár (HUN),2017.6.1
16.64,-1.1,-,77,Mohácsi Soma,94,KARC,F1,Székesfehérvár (HUN),2017.9.1
16.65,0.3,-,78,Käfer Levente,87,UTE,F2,Székesfehérvár (HUN),2017.9.1
16.7,0.3,-,79,Botka Levente,96,FTC,F2,Székesfehérvár (HUN),2017.9.1
16.71,1.5,19,80,Legéndi Bendegúz,99,Albertirsai SE,F2,Miskolc (HUN),2017.5.14
16.73,0.7,20,81,Németh Benedek,99,ZALASZÁM-ZAC,F2,Szekszárd (HUN),2017.5.14
16.93,1.5,21,82,Linkecs Patrik,98,Egri Sportiskola SE,F2,Miskolc (HUN),2017.5.14
13.27,0.6,1,1,Dr. Baji Balázs,89,BHSE,F,Székesfehérvár (HUN),2018.7.02
