Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
23.8,0.0,60,111,Mócsány Dominik,6,Salgótarjáni AC,F5,Nyíregyháza (HUN),2024.2.25
23.81,0.0,61,112,Barcza Bence,93,Keszthely VDSE,F4,Budapest (HUN),2024.2.1
23.82,0.0,62,113,Kis Roland,8,KARC,F14,Budapest (HUN),2024.1.28
23.84,0.0,63,114,Gara Zsombor,8,DSC-SI,F5,Nyíregyháza (HUN),2024.1.27
23.84,0.0,-,114,Standi Bence,8,Haladás VSE,F3,Nyíregyháza (HUN),2024.2.25
23.84,0.0,-,114,Vajda István,6,PVSK,F2,Nyíregyháza (HUN),2024.2.25
23.87,0.0,64,117,Kiss Csaba,96,Tiszaújvárosi SC,F1,Nyíregyháza (HUN),2024.1.2
23.87,0.0,-,117,Czéh Tamás,5,ARAK,F3,Budapest (HUN),2024.1.28
23.87,0.0,-,117,Kovács Szabolcs,5,NYSC,F3,Nyíregyháza (HUN),2024.2.25
23.88,0.0,65,120,Gábris Dávid,99,KSI SE,F8,Nyíregyháza (HUN),2024.1.2
23.89,0.0,-,121,Gara Zsombor,8,DSC-SI,F3,Nyíregyháza (HUN),2024.2.25
23.96,0.0,66,122,Kalácska Áron,0,FTC,F4,Budapest (HUN),2024.2.1
23.97,0.0,-,123,Barcza Bence,93,Keszthely VDSE,F4,Budapest (HUN),2024.1.28
23.99,0.0,-,124,Csapo Dániel,6,Békéscsabai AC,F7,Budapest (HUN),2024.2.1
24.0,0.0,67,125,Balogh Ágoston,8,DVTK,F4,Nyíregyháza (HUN),2024.2.25
24.01,0.0,68,126,Fliszár Levente,8,ARAK,F18,Budapest (HUN),2024.1.28
24.04,0.0,-,127,Standi Bence,8,Haladás VSE,F9,Budapest (HUN),2024.1.28
24.05,0.0,69,128,Lendvai Barnabás,8,Vasas,F9,Budapest (HUN),2024.1.28
24.06,0.0,70,129,Rácz Gergely,8,VEDAC,F9,Budapest (HUN),2024.2.1
24.08,0.0,-,130,Szilágyi Péter,4,BHSE,F9,Nyíregyháza (HUN),2024.1.2
24.09,0.0,71,131,Lukács Máté,7,Vasas,F2,Nyíregyháza (HUN),2024.2.25
24.09,0.0,-,131,Lendvai Barnabás,8,Vasas,F4,Nyíregyháza (HUN),2024.2.25
24.11,0.0,72,133,Kállai Balázs,0,BHSE,F5,Nyíregyháza (HUN),2024.1.2
24.11,0.0,72,133,Sipos Gergely,5,Budafoki MTE,F9,Budapest (HUN),2024.1.28
24.16,0.0,-,135,Gara Zsombor,8,DSC-SI,F5,Nyíregyháza (HUN),2024.1.2
24.18,0.0,-,136,Czifra Károly,6,HÓDIÁK SE,F4,Budapest (HUN),2024.1.28
24.18,0.0,74,136,Oláh Milán,6,BHSE,F7,Budapest (HUN),2024.2.1
24.2,0.0,-,138,Lukács Máté,7,Vasas,F4,Budapest (HUN),2024.1.28
24.23,0.0,75,139,Kertész-Farkas Áron,8,KARC,F5,Nyíregyháza (HUN),2024.2.25
24.24,0.0,76,140,Fejér Gergely,0,BHSE,F14,Budapest (HUN),2024.1.28
24.25,0.0,77,141,Zsolnai Balázs,3,Győri Atlétikai Club,F10,Budapest (HUN),2024.1.28
24.3,0.0,78,142,Szele Kristóf,3,EVSI,F9,Nyíregyháza (HUN),2024.1.2
24.32,0.0,-,143,Oláh Milán,6,BHSE,F4,Nyíregyháza (HUN),2024.2.25
24.34,0.0,79,144,Szabados Zsombor,8,DSC-SI,F4,Nyíregyháza (HUN),2024.2.25
24.36,0.0,-,145,Balogh Ágoston,8,DVTK,F6,Nyíregyháza (HUN),2024.1.27
24.37,0.0,80,146,Török Ádám,5,Szegedi RSC,F17,Budapest (HUN),2024.1.28
24.39,0.0,-,147,Lendvai Barnabás,8,Vasas,F3,Budapest (HUN),2024.2.1
24.41,0.0,81,148,Kapuy Ádám,8,Győri Atlétikai Club,F20,Budapest (HUN),2024.1.28
24.41,0.0,81,148,Sabo Dominik,94,BSC,F5,Budapest (HUN),2024.2.1
24.42,0.0,-,150,Szabados Zsombor,8,DSC-SI,F4,Nyíregyháza (HUN),2024.1.27
24.44,0.0,83,151,Simon Tamás,6,UTE,F6,Nyíregyháza (HUN),2024.2.25
24.46,0.0,84,152,Moskola Zsombor,7,Csepel TC,F3,Nyíregyháza (HUN),2024.2.25
24.48,0.0,-,153,Oláh Milán,6,BHSE,F19,Budapest (HUN),2024.1.28
24.54,0.0,85,154,Kecskés Zsombor,6,BHSE,F7,Budapest (HUN),2024.1.28
24.56,0.0,-,155,Mócsány Dominik,6,Salgótarjáni AC,F9,Budapest (HUN),2024.1.28
24.56,0.0,86,155,Szabó Gáspár,0,Vasas,F5,Budapest (HUN),2024.2.1
24.57,0.0,-,157,Fejér Gergely,0,BHSE,F4,Nyíregyháza (HUN),2024.1.2
24.59,0.0,-,158,Szabados Zsombor,8,DSC-SI,F12,Nyíregyháza (HUN),2024.1.2
24.63,0.0,87,159,Zsíros Milán,7,Salgótarjáni AC,F20,Budapest (HUN),2024.1.28
24.63,0.0,87,159,Lovas Gergő,7,Szekszárdi Sportközpont,F10,Budapest (HUN),2024.2.1
24.66,0.0,-,161,Zsíros Milán,7,Salgótarjáni AC,F4,Nyíregyháza (HUN),2024.2.25
24.67,0.0,89,162,Balassa Levente,8,Győri Atlétikai Club,F15,Budapest (HUN),2024.1.28
24.67,0.0,-,162,Balassa Levente,8,Győri Atlétikai Club,F4,Nyíregyháza (HUN),2024.2.25
24.69,0.0,90,164,Czeczeli Bende,7,Dobó SE,F6,Nyíregyháza (HUN),2024.2.25
24.7,0.0,91,165,Kiss András,8,SVSE,F13,Budapest (HUN),2024.1.28
24.7,0.0,91,165,Mesits Maxim,5,Kőszegi Lóránt FC,F5,Budapest (HUN),2024.2.1
24.7,0.0,-,165,Balassa Levente,8,Győri Atlétikai Club,F1,Budapest (HUN),2024.2.1
24.7,0.0,91,165,Horváth Zétény,7,Dobó SE,F5,Nyíregyháza (HUN),2024.2.25
